state,statefp,placefp,placename,type,funcstat,county,city
WA,53,00100,Aberdeen city,Incorporated Place,A,Grays Harbor County,Aberdeen
WA,53,00135,Aberdeen Gardens CDP,Census Designated Place,S,Grays Harbor County,Aberdeen Gardens
WA,53,00275,Acme CDP,Census Designated Place,S,Whatcom County,Acme
WA,53,00380,Addy CDP,Census Designated Place,S,Stevens County,Addy
WA,53,00800,Ahtanum CDP,Census Designated Place,S,Yakima County,Ahtanum
WA,53,00905,Airway Heights city,Incorporated Place,A,Spokane County,Airway Heights
WA,53,01010,Albion town,Incorporated Place,A,Whitman County,Albion
WA,53,01045,Alder CDP,Census Designated Place,S,Pierce County,Alder
WA,53,01150,Alderton CDP,Census Designated Place,S,Pierce County,Alderton
WA,53,01185,Alderwood Manor CDP,Census Designated Place,S,Snohomish County,Alderwood Manor
WA,53,01255,Alger CDP,Census Designated Place,S,Skagit County,Alger
WA,53,01290,Algona city,Incorporated Place,A,King County,Algona
WA,53,01430,Allyn CDP,Census Designated Place,S,Mason County,Allyn
WA,53,01500,Almira town,Incorporated Place,A,Lincoln County,Almira
WA,53,01745,Altoona CDP,Census Designated Place,S,Wahkiakum County,Altoona
WA,53,01780,Amanda Park CDP,Census Designated Place,S,Grays Harbor County,Amanda Park
WA,53,01850,Amboy CDP,Census Designated Place,S,Clark County,Amboy
WA,53,01920,Ames Lake CDP,Census Designated Place,S,King County,Ames Lake
WA,53,01990,Anacortes city,Incorporated Place,A,Skagit County,Anacortes
WA,53,02060,Anderson Island CDP,Census Designated Place,S,Pierce County,Anderson Island
WA,53,02585,Arlington city,Incorporated Place,A,Snohomish County,Arlington
WA,53,02620,Arlington Heights CDP,Census Designated Place,S,Snohomish County,Arlington Heights
WA,53,02910,Artondale CDP,Census Designated Place,S,Pierce County,Artondale
WA,53,03005,Ashford CDP,Census Designated Place,S,Pierce County,Ashford
WA,53,03075,Asotin city,Incorporated Place,A,Asotin County,Asotin
WA,53,03180,Auburn city,Incorporated Place,A,"King County, Pierce County",Auburn
WA,53,03736,Bainbridge Island city,Incorporated Place,A,Kitsap County,Bainbridge Island
WA,53,04100,Bangor Base CDP,Census Designated Place,S,Kitsap County,Bangor Base
WA,53,04125,Banks Lake South CDP,Census Designated Place,S,Grant County,Banks Lake South
WA,53,04195,Barberton CDP,Census Designated Place,S,Clark County,Barberton
WA,53,04300,Baring CDP,Census Designated Place,S,King County,Baring
WA,53,04347,Barney's Junction CDP,Census Designated Place,S,Ferry County,Barney's Junction
WA,53,04370,Barstow CDP,Census Designated Place,S,Ferry County,Barstow
WA,53,04405,Basin City CDP,Census Designated Place,S,Franklin County,Basin City
WA,53,04475,Battle Ground city,Incorporated Place,A,Clark County,Battle Ground
WA,53,04615,Bay Center CDP,Census Designated Place,S,Pacific County,Bay Center
WA,53,04790,Bay View CDP,Census Designated Place,S,Skagit County,Bay View
WA,53,04895,Beaux Arts Village town,Incorporated Place,A,King County,Beaux Arts Village
WA,53,05140,Belfair CDP,Census Designated Place,S,Mason County,Belfair
WA,53,05210,Bellevue city,Incorporated Place,A,King County,Bellevue
WA,53,05245,Bell Hill CDP,Census Designated Place,S,Clallam County,Bell Hill
WA,53,05280,Bellingham city,Incorporated Place,A,Whatcom County,Bellingham
WA,53,05560,Benton City city,Incorporated Place,A,Benton County,Benton City
WA,53,05735,Bethel CDP,Census Designated Place,S,Kitsap County,Bethel
WA,53,05980,Bickleton CDP,Census Designated Place,S,Klickitat County,Bickleton
WA,53,06050,Big Lake CDP,Census Designated Place,S,Skagit County,Big Lake
WA,53,06085,Bingen city,Incorporated Place,A,Klickitat County,Bingen
